ResponseId,Duration (in seconds),PROLIFIC_PID,num_counterfactuals,info,CF,bias,agent-CF,acra_assigned,acra_display_order,factual_only_traj_display_order,traj_number,Alex_rating,AP5_rating,confidence,BFxCH_Alex_rating_traj,BFxCH_AP5_rating_traj,BFxCH_agreement,HPxCH_Alex_rating_traj,HPxCH_AP5_rating_traj,HPxCH_agreement,HPxTR_Alex_rating_traj,HPxTR_AP5_rating_traj,HPxTR_agreement,TRxCH_Alex_rating_traj,TRxCH_AP5_rating_traj,TRxCH_agreement,TRxTR_Alex_rating_traj,TRxTR_AP5_rating_traj,TRxTR_agreement,trajectory,"Please explain whether you found the wording of the questions to be clear, or you found anything else to be unclear in this survey.","If you have any other comments or any questions, please let us know here.",What is your age?,Which political party do you identify with: - Selected Choice,Which political party do you identify with: - Other (please specify): - Text,Do you identify as: - Selected Choice,Do you identify as: - Other (please specify): - Text,In what type of community do you live? (Check all that apply): - Selected Choice,In what type of community do you live? (Check all that apply): - Other (please specify): - Text,"50 States, D.C. and Puerto Rico",What is the highest level of school you have completed or the highest degree you have received?,Do you identify as:,Which religion do you practice? - Selected Choice,Which religion do you practice? - Some other religion (please specify): - Text
R_3aLj83JDDOYuWTh,206,67fa1e8b18d7972a02d01280,1,full,1-CF,1,0,BFxCH,factual-cf-agent0-full-biased_1-BFxCH-questions|factual-cf-agent0-full-biased_1-HPxCH-questions|FL_266|factual-cf-agent0-full-biased_1-HPxTR-questions|factual-cf-agent0-full-biased_1-TRxTR-questions|factual-cf-agent0-full-biased_1-TRxCH-questions,,traj-226,High Responsibility,Medium Responsibility,High confidence,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,226,no,good,30,Republican Party,,Female,,Suburban community,,Florida,Bachelor degree,White,Catholicism,
R_3aLj83JDDOYuWTh,206,67fa1e8b18d7972a02d01280,1,full,1-CF,1,0,HPxCH,factual-cf-agent0-full-biased_1-BFxCH-questions|factual-cf-agent0-full-biased_1-HPxCH-questions|FL_266|factual-cf-agent0-full-biased_1-HPxTR-questions|factual-cf-agent0-full-biased_1-TRxTR-questions|factual-cf-agent0-full-biased_1-TRxCH-questions,,traj-648,High Responsibility,Medium Responsibility,High confidence,1,1,0.5,1,0.5,1,1,1,0.5,0.5,0.5,0.5,1,1,0.5,648,no,good,31,Republican Party,,Female,,Suburban community,,Florida,Bachelor degree,White,Catholicism,
R_3aLj83JDDOYuWTh,206,67fa1e8b18d7972a02d01280,1,full,1-CF,1,0,HPxTR,factual-cf-agent0-full-biased_1-BFxCH-questions|factual-cf-agent0-full-biased_1-HPxCH-questions|FL_266|factual-cf-agent0-full-biased_1-HPxTR-questions|factual-cf-agent0-full-biased_1-TRxTR-questions|factual-cf-agent0-full-biased_1-TRxCH-questions,,traj-262,Medium Responsibility,High Responsibility,Medium confidence,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,1,262,no,good,32,Republican Party,,Female,,Suburban community,,Florida,Bachelor degree,White,Catholicism,
R_3aLj83JDDOYuWTh,206,67fa1e8b18d7972a02d01280,1,full,1-CF,1,0,TRxTR,factual-cf-agent0-full-biased_1-BFxCH-questions|factual-cf-agent0-full-biased_1-HPxCH-questions|FL_266|factual-cf-agent0-full-biased_1-HPxTR-questions|factual-cf-agent0-full-biased_1-TRxTR-questions|factual-cf-agent0-full-biased_1-TRxCH-questions,,traj-909,High Responsibility,Medium Responsibility,High confidence,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,909,no,good,33,Republican Party,,Female,,Suburban community,,Florida,Bachelor degree,White,Catholicism,
R_3aLj83JDDOYuWTh,206,67fa1e8b18d7972a02d01280,1,full,1-CF,1,0,TRxCH,factual-cf-agent0-full-biased_1-BFxCH-questions|factual-cf-agent0-full-biased_1-HPxCH-questions|FL_266|factual-cf-agent0-full-biased_1-HPxTR-questions|factual-cf-agent0-full-biased_1-TRxTR-questions|factual-cf-agent0-full-biased_1-TRxCH-questions,,traj-58,High Responsibility,Medium Responsibility,High confidence,1,0,0.5,1,0,0.5,1,0,0.5,1,0,0.5,1,0,0.5,58,no,good,34,Republican Party,,Female,,Suburban community,,Florida,Bachelor degree,White,Catholicism,
R_3c2y9ex7fT3rUHF,725,67f640fc3fbb277ce39c0bea,0,partial,factual,both,none,HPxTR,factual-partial-biased_both-HPxTR-questions|factual-partial-biased_both-TRxTR-questions|factual-partial-biased_both-BFxCH-questions|factual-partial-biased_both-HPxCH-questions|factual-partial-biased_both-TRxCH-questions|FL_282,,traj-233,Medium Responsibility,Medium Responsibility,High confidence,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,233,It was clear,No,30,Democratic Party,,Female,,City or urban community,,Tennessee,Bachelor degree,Black or African-American,Protestantism,
R_3c2y9ex7fT3rUHF,725,67f640fc3fbb277ce39c0bea,0,partial,factual,both,none,TRxTR,factual-partial-biased_both-HPxTR-questions|factual-partial-biased_both-TRxTR-questions|factual-partial-biased_both-BFxCH-questions|factual-partial-biased_both-HPxCH-questions|factual-partial-biased_both-TRxCH-questions|FL_282,,traj-203,Medium Responsibility,Medium Responsibility,High confidence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,It was clear,No,31,Democratic Party,,Female,,City or urban community,,Tennessee,Bachelor degree,Black or African-American,Protestantism,
R_3c2y9ex7fT3rUHF,725,67f640fc3fbb277ce39c0bea,0,partial,factual,both,none,BFxCH,factual-partial-biased_both-HPxTR-questions|factual-partial-biased_both-TRxTR-questions|factual-partial-biased_both-BFxCH-questions|factual-partial-biased_both-HPxCH-questions|factual-partial-biased_both-TRxCH-questions|FL_282,,traj-83,Medium Responsibility,Medium Responsibility,High confidence,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,83,It was clear,No,32,Democratic Party,,Female,,City or urban community,,Tennessee,Bachelor degree,Black or African-American,Protestantism,
R_3c2y9ex7fT3rUHF,725,67f640fc3fbb277ce39c0bea,0,partial,factual,both,none,HPxCH,factual-partial-biased_both-HPxTR-questions|factual-partial-biased_both-TRxTR-questions|factual-partial-biased_both-BFxCH-questions|factual-partial-biased_both-HPxCH-questions|factual-partial-biased_both-TRxCH-questions|FL_282,,traj-612,Medium Responsibility,Low Responsibility,High confidence,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,612,It was clear,No,33,Democratic Party,,Female,,City or urban community,,Tennessee,Bachelor degree,Black or African-American,Protestantism,
R_3c2y9ex7fT3rUHF,725,67f640fc3fbb277ce39c0bea,0,partial,factual,both,none,TRxCH,factual-partial-biased_both-HPxTR-questions|factual-partial-biased_both-TRxTR-questions|factual-partial-biased_both-BFxCH-questions|factual-partial-biased_both-HPxCH-questions|factual-partial-biased_both-TRxCH-questions|FL_282,,traj-343,Medium Responsibility,Medium Responsibility,High confidence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,It was clear,No,34,Democratic Party,,Female,,City or urban community,,Tennessee,Bachelor degree,Black or African-American,Protestantism,
