ResponseId,Duration (in seconds),PROLIFIC_PID,num_counterfactuals,info,CF,bias,agent-CF,acra_assigned,acra_display_order,factual_only_traj_display_order,traj_number,Alex_rating,AP5_rating,confidence,BFxCH_Alex_rating_traj,BFxCH_AP5_rating_traj,BFxCH_agreement,HPxCH_Alex_rating_traj,HPxCH_AP5_rating_traj,HPxCH_agreement,HPxTR_Alex_rating_traj,HPxTR_AP5_rating_traj,HPxTR_agreement,TRxCH_Alex_rating_traj,TRxCH_AP5_rating_traj,TRxCH_agreement,TRxTR_Alex_rating_traj,TRxTR_AP5_rating_traj,TRxTR_agreement,trajectory,"Please explain whether you found the wording of the questions to be clear, or you found anything else to be unclear in this survey.","If you have any other comments or any questions, please let us know here.",What is your age?,Which political party do you identify with: - Selected Choice,Which political party do you identify with: - Other (please specify): - Text,Do you identify as: - Selected Choice,Do you identify as: - Other (please specify): - Text,In what type of community do you live? (Check all that apply): - Selected Choice,In what type of community do you live? (Check all that apply): - Other (please specify): - Text,"50 States, D.C. and Puerto Rico",What is the highest level of school you have completed or the highest degree you have received?,Do you identify as:,Which religion do you practice? - Selected Choice,Which religion do you practice? - Some other religion (please specify): - Text
R_7tEQrMPwHsIehjz,1812,67f7da3e89978ec35b0058b1,1,partial,1-CF,both,0,HPxTR,factual-cf-agent0-partial-biased_both-HPxTR-questions|factual-cf-agent0-partial-biased_both-TRxCH-questions|FL_254|factual-cf-agent0-partial-biased_both-HPxCH-questions|factual-cf-agent0-partial-biased_both-TRxTR-questions|factual-cf-agent0-partial-biased_both-BFxCH-questions,,traj-634,High Responsibility,Medium Responsibility,Medium confidence,,,,,,,,,,,,,,,,634,EVERYTHING WAS CLEAR ,N/A,19,Republican Party,,Male,,Suburban community,,Florida,Some college but no degree,Black or African-American,Catholicism,
R_7tEQrMPwHsIehjz,1812,67f7da3e89978ec35b0058b1,1,partial,1-CF,both,0,TRxCH,factual-cf-agent0-partial-biased_both-HPxTR-questions|factual-cf-agent0-partial-biased_both-TRxCH-questions|FL_254|factual-cf-agent0-partial-biased_both-HPxCH-questions|factual-cf-agent0-partial-biased_both-TRxTR-questions|factual-cf-agent0-partial-biased_both-BFxCH-questions,,traj-64,High Responsibility,Medium Responsibility,Medium confidence,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,
R_7tEQrMPwHsIehjz,1812,67f7da3e89978ec35b0058b1,1,partial,1-CF,both,0,HPxCH,factual-cf-agent0-partial-biased_both-HPxTR-questions|factual-cf-agent0-partial-biased_both-TRxCH-questions|FL_254|factual-cf-agent0-partial-biased_both-HPxCH-questions|factual-cf-agent0-partial-biased_both-TRxTR-questions|factual-cf-agent0-partial-biased_both-BFxCH-questions,,traj-623,Medium Responsibility,Low Responsibility,Medium confidence,,,,,,,,,,,,,,,,623,,,,,,,,,,,,,,
R_7tEQrMPwHsIehjz,1812,67f7da3e89978ec35b0058b1,1,partial,1-CF,both,0,TRxTR,factual-cf-agent0-partial-biased_both-HPxTR-questions|factual-cf-agent0-partial-biased_both-TRxCH-questions|FL_254|factual-cf-agent0-partial-biased_both-HPxCH-questions|factual-cf-agent0-partial-biased_both-TRxTR-questions|factual-cf-agent0-partial-biased_both-BFxCH-questions,,traj-576-1,Medium Responsibility,Low Responsibility,Medium confidence,,,,,,,,,,,,,,,,576,,,,,,,,,,,,,,
R_7tEQrMPwHsIehjz,1812,67f7da3e89978ec35b0058b1,1,partial,1-CF,both,0,BFxCH,factual-cf-agent0-partial-biased_both-HPxTR-questions|factual-cf-agent0-partial-biased_both-TRxCH-questions|FL_254|factual-cf-agent0-partial-biased_both-HPxCH-questions|factual-cf-agent0-partial-biased_both-TRxTR-questions|factual-cf-agent0-partial-biased_both-BFxCH-questions,,traj-529,Medium Responsibility,Low Responsibility,Medium confidence,,,,,,,,,,,,,,,,529,,,,,,,,,,,,,,
R_3ZKtqsc1caYrIap,1137,6785eb4253cd5fe0e7d2c70f,1,full,1-CF,0,0,TRxTR,factual-cf-agent0-full-biased_0-TRxTR-questions|FL_265|factual-cf-agent0-full-biased_0-TRxCH-questions|factual-cf-agent0-full-biased_0-BFxCH-questions|factual-cf-agent0-full-biased_0-HPxCH-questions|factual-cf-agent0-full-biased_0-HPxTR-questions,,traj-393,Medium Responsibility,Medium Responsibility,Low confidence,,,,,,,,,,,,,,,,393,i didnt really understand the game all to weel i think you chould break it down a llot more and explain who is in the wrong and not in the beginning.,Just make instructions more clear and understanding,19,Independent,,Female,,City or urban community,,Louisiana,"High school degree or equivalent (e.g., GED)",Black or African-American,No religion,
R_3ZKtqsc1caYrIap,1137,6785eb4253cd5fe0e7d2c70f,1,full,1-CF,0,0,TRxCH,factual-cf-agent0-full-biased_0-TRxTR-questions|FL_265|factual-cf-agent0-full-biased_0-TRxCH-questions|factual-cf-agent0-full-biased_0-BFxCH-questions|factual-cf-agent0-full-biased_0-HPxCH-questions|factual-cf-agent0-full-biased_0-HPxTR-questions,,traj-231,Medium Responsibility,Low Responsibility,Low confidence,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,
R_3ZKtqsc1caYrIap,1137,6785eb4253cd5fe0e7d2c70f,1,full,1-CF,0,0,BFxCH,factual-cf-agent0-full-biased_0-TRxTR-questions|FL_265|factual-cf-agent0-full-biased_0-TRxCH-questions|factual-cf-agent0-full-biased_0-BFxCH-questions|factual-cf-agent0-full-biased_0-HPxCH-questions|factual-cf-agent0-full-biased_0-HPxTR-questions,,traj-787,Low Responsibility,Medium Responsibility,Low confidence,,,,,,,,,,,,,,,,787,,,,,,,,,,,,,,
R_3ZKtqsc1caYrIap,1137,6785eb4253cd5fe0e7d2c70f,1,full,1-CF,0,0,HPxCH,factual-cf-agent0-full-biased_0-TRxTR-questions|FL_265|factual-cf-agent0-full-biased_0-TRxCH-questions|factual-cf-agent0-full-biased_0-BFxCH-questions|factual-cf-agent0-full-biased_0-HPxCH-questions|factual-cf-agent0-full-biased_0-HPxTR-questions,,traj-742,Medium Responsibility,Medium Responsibility,Low confidence,,,,,,,,,,,,,,,,742,,,,,,,,,,,,,,
R_3ZKtqsc1caYrIap,1137,6785eb4253cd5fe0e7d2c70f,1,full,1-CF,0,0,HPxTR,factual-cf-agent0-full-biased_0-TRxTR-questions|FL_265|factual-cf-agent0-full-biased_0-TRxCH-questions|factual-cf-agent0-full-biased_0-BFxCH-questions|factual-cf-agent0-full-biased_0-HPxCH-questions|factual-cf-agent0-full-biased_0-HPxTR-questions,,traj-856,High Responsibility,High Responsibility,Low confidence,,,,,,,,,,,,,,,,856,,,,,,,,,,,,,,
R_7uWgAIrBtTaUujv,1133,67f544fafd196d9b109e3b4b,2,partial,2-CF,both,both,HPxTR,factual-cf-both-agents-partial-biased_both-HPxTR-questions|FL_257|factual-cf-both-agents-partial-biased_both-TRxTR-questions|factual-cf-both-agents-partial-biased_both-BFxCH-questions|factual-cf-both-agents-partial-biased_both-TRxCH-questions|factual-cf-both-agents-partial-biased_both-HPxCH-questions,,traj-514-2,Medium Responsibility,Medium Responsibility,High confidence,,,,,,,,,,,,,,,,514,no,no,57,Republican Party,,Female,,Suburban community,,Oklahoma,Graduate degree,White,Catholicism,
R_7uWgAIrBtTaUujv,1133,67f544fafd196d9b109e3b4b,2,partial,2-CF,both,both,TRxTR,factual-cf-both-agents-partial-biased_both-HPxTR-questions|FL_257|factual-cf-both-agents-partial-biased_both-TRxTR-questions|factual-cf-both-agents-partial-biased_both-BFxCH-questions|factual-cf-both-agents-partial-biased_both-TRxCH-questions|factual-cf-both-agents-partial-biased_both-HPxCH-questions,,traj-3-1,Medium Responsibility,Medium Responsibility,High confidence,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
R_7uWgAIrBtTaUujv,1133,67f544fafd196d9b109e3b4b,2,partial,2-CF,both,both,BFxCH,factual-cf-both-agents-partial-biased_both-HPxTR-questions|FL_257|factual-cf-both-agents-partial-biased_both-TRxTR-questions|factual-cf-both-agents-partial-biased_both-BFxCH-questions|factual-cf-both-agents-partial-biased_both-TRxCH-questions|factual-cf-both-agents-partial-biased_both-HPxCH-questions,,traj-714,Medium Responsibility,Medium Responsibility,Medium confidence,,,,,,,,,,,,,,,,714,,,,,,,,,,,,,,
